0.0000 0.0000 0.0000 0.0000 -> 5e5d96e07855e697 -> 0.2825 0.4350 0.3362 0.5862 | Apple
0.2825 0.4350 0.3362 0.5862 -> 5e5d96e07855e697 -> 0.1950 0.7563 0.5051 0.8447 | Plate
0.8497 0.9804 0.0833 0.1961 -> fdf3a67378fc2256 -> 0.5801 0.7255 0.1078 0.2353 | Food
0.8769 0.9681 0.5342 0.6300 -> 1dd1fc90b971740a -> 0.8769 0.9681 0.5342 0.6300 | Food
0.1500 0.8833 0.2775 0.9150 -> 9245f22e825374d3 -> 0.1500 0.8833 0.2775 0.9150 | Food
0.5138 0.7756 0.2500 0.5325 -> c12ec568011850a5 -> 0.5138 0.7756 0.2500 0.5325 | Food
0.9375 0.9987 0.5499 0.6008 -> 4c3e02e31807503a -> 0.9375 0.9987 0.5499 0.6008 | Food
0.9344 0.9992 0.0093 0.1167 -> 85b261915f36bb14 -> 0.9344 0.9992 0.0093 0.1167 | Food
0.9594 0.9994 0.6867 0.7692 -> abc01dacd1199fe6 -> 0.9594 0.9994 0.6867 0.7692 | Food
0.3625 0.6812 0.2370 0.4791 -> 9f0019aa1819df0b -> 0.3625 0.6812 0.2370 0.4791 | Food
0.7638 0.9162 0.2983 0.4075 -> 10722200d89f40dd -> 0.7638 0.9162 0.2983 0.4075 | Food
0.1217 0.5583 0.1013 0.2900 -> da666745afeffa07 -> 0.1217 0.5583 0.1013 0.2900 | Food
0.5381 0.5794 0.5425 0.5858 -> 47d1e9bea319850b -> 0.7131 0.7300 0.5192 0.5950 | Tableware
0.6981 0.8400 0.5535 0.6098 -> 865a1fa2faec0e44 -> 0.6431 0.8419 0.5675 0.7326 | Table
0.1750 0.2833 0.5606 0.7269 -> f49bc766aa73139a -> 0.4408 0.5500 0.4144 0.5050 | Chair
0.7875 0.9969 0.5082 0.8235 -> c4687f1315bb7e05 -> 0.0000 0.9984 0.0000 0.9929 | House
0.0000 0.9984 0.0000 0.9929 -> c4687f1315bb7e05
